,Unnamed: 0,ts,ID,DLC,bin
1793,51570,25.165015,354,8,0
12857,51572,25.165466,189,8,0011001000000010110001110011110010110000110000100000000000000000
17670,51574,25.165912,1F6,8,0000000000100000100000000010001100000000111111111111111111111110
23330,51578,25.166662,646,8,0000000001000110000000111110100000000000100011000000110010100100
34633,51618,25.167085,5D7,8,1001110100000000010011110010101111010101101010101001110101000000
23588,51581,25.168632,2BC,8,1001010001001100010101110000011111110100001010101100110110001111
35539,51629,25.169494,564,3,000101010000010001010000
36795,51557,25.171985,2B9,4,10010101110000000000000000000000
45255,51491,25.17239,634,5,0010001000000000000000010110100000000000
7735,51582,25.172637,12E,8,1100101010000000000000000111111111110000111111111111111100000000
32479,51584,25.173055,0C6,8,0111110110001010100000000000101010000000000000011011100000110101
26149,51585,25.173291,17A,8,0011001000000110010100001010101000000000001100000011001000000000
22481,51586,25.173539,17E,8,100011111111
29158,51587,25.173785,20C,8,1111100011111111111100100001000011111111111100000000000000000000
43325,25689,25.173845,357,6,000101100100000100000000000011010110101100000000
14609,51588,25.174031,29A,8,111011110001
17671,51592,25.175264,1F6,8,0000000000100000100000000010001100000000111111111111111111111110
12858,51594,25.175715,189,8,0011001000000010110001110011110010110000110000100000000000000000
46266,6229,25.176764,68B,7,01100010001100100000100000000000000001101111011000000100
4969,51596,25.177822,217,8,1111111111111111000000110000000000000000000000000000000001100000
7736,51600,25.182653,12E,8,1100101010000000000000000111111111110000111111111111111100000000
32480,51602,25.183071,0C6,8,0111110110001010011111111110110010000000000000011011101001010010
26150,51603,25.183307,17A,8,0011001000000110010100001010101000000000001100000011001000000000
22482,51604,25.183556,17E,8,100011111111
43326,51544,25.183879,357,6,000110010000110000001110000000000000000011110000
29159,51606,25.183964,20C,8,1111100011111111111100100001000011111111111100000000000000000000
19425,51607,25.1842,211,8,0100011000000000111111111111111100001010000000000000000011101011
3170,51608,25.184446,242,8,0000000000000000111111111110111111111110000000000000110100000000
36192,51576,25.18452,4FA,3,111010000000100000000000
12859,51610,25.184895,189,8,0011001000000010110001110011110010110000110000100000000000000000
17672,51612,25.185341,1F6,8,0000000000100000100000000010001100000000111111111111111111111110
10098,51614,25.185732,29C,8,0000000000000000000000000000000011111111111111110000000000000000
1114,51621,25.1873,5DA,8,0011101101100110000000000000000010011001001001001011011100100000
33778,51414,25.1874,3B7,7,00101010001100111111111101000001010011110111111101000110
19923,51622,25.187544,5000000000.0,8,0000000000111000000000000000000000000000000110000000000000000000
33232,51623,25.187789,648,8,0000000000000000000000000111111011111100011111101111110000000110
23231,51625,25.188179,66A,8,0000000011111110000000000101000001010000110000000000000000000000
40011,20642,25.189371,392,6,101011010000000011100000111111111111111000000001
47007,51393,25.19123,657,3,010010000011111001000100
38250,51627,25.192184,62C,2,1011010100000000
7737,51630,25.192672,12E,8,1100101110000000000000000111111111100000111111111111111100000000
32481,51632,25.19309,0C6,8,0111110110001010100000000001010010000000000000011011110000100111
26151,51633,25.193326,17A,8,0011001000000110010100001010101000000000001100000011001000000000
22483,51634,25.193574,17E,8,100011111111
29160,51635,25.19382,20C,8,1111100011111111111100100001000011111111111100000000000000000000
43327,25708,25.193912,357,6,000101100100000100000000000011101011111100000000
14610,51636,25.19407,29A,8,111111110000
12860,51640,25.194889,189,8,0011001000000010110001110011110010110000110000100000000000000000
17673,51642,25.195336,1F6,8,0000000000100000100000000010001100000000111111111111111111111110
719,51643,25.195584,3F7,8,0000100000000000000001000000000000000000000000000000000000000000
3664,51644,25.195828,4F8,8,0101100000010000001100001111111111111111000000111111111100000000
4970,51645,25.196619,217,8,1111111111111111000000110000000000000000000000000000000001100000
47610,51620,25.196721,41D,4,10000010111100010010000000011011
44582,51619,25.196721,41A,5,1110110000010000000100000000000000000000
34634,51550,25.200419,5D7,8,0100100000000000000000000000100100110000000110011111000011000110
37395,51168,25.201653,218,2,1110010100000010
7738,51648,25.20267,12E,8,1100101110000000000000000111111111100000111111111111111100000000
35540,51508,25.202831,564,3,011101100001101111010000
32482,51650,25.203088,0C6,8,0111110110001010011111111110110010000000000000011011111001001110
26152,51651,25.203324,17A,8,0011001000000110010100001010101000000000001100000011001000000000
22484,51652,25.203572,17E,8,100011111111
29161,51653,25.203819,20C,8,1111100011111111111100100001000011111111111100000000000000000000
43328,51590,25.203946,357,6,000110010000110000001110000000000000000011110000
19426,51654,25.204055,211,8,0100011000000000111111111111111100001010000000000000000011101100
3171,51655,25.204301,242,8,0000000000000000111111111110111111111110000000000000110100000000
46267,12425,25.20443,68B,7,10001001111111111111111111111111111111111111111111110000
10099,51657,25.204691,29C,8,0000000000000000000000000000000011111111111111110000000000000000
15111,51658,25.20492,350,8,1100011100100011010111010110010000010100110010001001010010000101
1794,51659,25.20517,354,8,0
12861,51661,25.205618,189,8,0011001000000010110001110011110010110000110000100000000000000000
17674,51664,25.206227,1F6,8,0000000000100000100000000010001100000000111111111111111111111110
38904,51516,25.209084,3FA,3,101101000000000000000000
40716,51556,25.209087,204,4,01111010110000000000000000000000
48214,51492,25.209105,500,6,110001010000001011000001111000111001010101010000
7739,51665,25.212639,12E,8,1100101110000000000000100111111111010000111111111111111100000000
32483,51667,25.21306,0C6,8,0111110110001010100000000000101010000000000000011010000001001101
26153,51668,25.213296,17A,8,0011001000000110010100001010101000000000001100000011001000000000
22485,51669,25.213544,17E,8,100011111111
29162,51670,25.21379,20C,8,1111100011111111111100100001000011111111111100000000000000000000
43329,25730,25.213979,357,6,000101100100000000000000000011110110111000000000
14611,51671,25.214036,29A,8,11111111
40012,51616,25.214385,392,6,101000000000000000000110000000000000000000000000
12862,51675,25.214857,189,8,0011001000000010110001110011110010110000110000100000000000000000
17675,51677,25.215304,1F6,8,0000000000100000100000000010001100000000111111111111111111111110
29919,51678,25.215544,55D,8,0000011000011101111101000000111110010001100000000000000010000000
4971,51679,25.216612,217,8,1111111111111111000000110000000000000000000000000000000001100000
36796,51558,25.222029,2B9,4,01101110110101000001110100000000
45256,51534,25.222435,634,5,0000110010000000000000000000000000000000
7740,51682,25.222641,12E,8,1100101110000000000000100111111111010000111111111111111100000000
32484,51684,25.22306,0C6,8,0111110110001010011111111110110010000000000000011010001001101010
26154,51685,25.223296,17A,8,0011001000000110010100001010101000000000001100000011001000000000
22486,51686,25.223544,17E,8,100011111111
29163,51688,25.223952,20C,8,1111100011111111111100100001000011111111111100000000000000000000
